sample	name	value
SRR9042866	purple	-0.0645791343013321
SRR9042866	royalblue	0.021364793823543
SRR9042866	lightyellow	0.0274819115271613
SRR9042866	red	0.00883773814581387
SRR9042866	magenta	0.0313463787156851
SRR9042866	yellow	-0.00224852618896522
SRR9042866	blue	-0.0749470718442377
SRR9042866	grey60	-0.15893706268679
SRR9042866	black	0.12768652905183
SRR9042866	midnightblue	0.0943536907012144
SRR9042866	brown	-0.0286884551314708
SRR9042866	green	0.0395391317626978
SRR9042866	salmon	0.139018336777442
SRR9042866	pink	-0.0933543410721774
SRR9042866	tan	0.0438736201019783
SRR9042866	turquoise	0.0941484123723319
SRR9042866	lightcyan	-0.0523987596231807
SRR9042866	cyan	-0.0650449348051972
SRR9042866	greenyellow	-0.0908755566653423
SRR9042866	lightgreen	-0.0574988734477584
SRR9042866	grey	-0.00101692779426188
SRR9042867	purple	-0.0630748759042291
SRR9042867	royalblue	0.0155814228266255
SRR9042867	lightyellow	0.0257651701956471
SRR9042867	red	0.0129194430954848
SRR9042867	magenta	0.0344876216234559
SRR9042867	yellow	-0.00379903059585371
SRR9042867	blue	-0.07465409371349
SRR9042867	grey60	-0.155670112133497
SRR9042867	black	0.127578194639506
SRR9042867	midnightblue	0.100299386360952
SRR9042867	brown	-0.0298066335769879
SRR9042867	green	0.0405698209228796
SRR9042867	salmon	0.136093692110496
SRR9042867	pink	-0.09793022397314
SRR9042867	tan	0.040105761739247
SRR9042867	turquoise	0.09544780131371
SRR9042867	lightcyan	-0.046631809109091
SRR9042867	cyan	-0.07222718826358
SRR9042867	greenyellow	-0.0877328216473993
SRR9042867	lightgreen	-0.0520152426222732
SRR9042867	grey	-0.00106565243632646
SRR9042869	purple	-0.0591556034420942
SRR9042869	royalblue	0.00465513025787231
SRR9042869	lightyellow	0.0218060050151823
SRR9042869	red	0.0114655197757356
SRR9042869	magenta	0.0322891670251758
SRR9042869	yellow	-0.00409822280873451
SRR9042869	blue	-0.0752608147029622
SRR9042869	grey60	-0.161819594815634
SRR9042869	black	0.127750407131227
SRR9042869	midnightblue	0.105135013395817
SRR9042869	brown	-0.0293966349919662
SRR9042869	green	0.0402946581784491
SRR9042869	salmon	0.139502729881938
SRR9042869	pink	-0.0950891863703899
SRR9042869	tan	0.0431293940012259
SRR9042869	turquoise	0.097072822442104
SRR9042869	lightcyan	-0.0462063672369006
SRR9042869	cyan	-0.067289431705511
SRR9042869	greenyellow	-0.0879801403797291
SRR9042869	lightgreen	-0.0600202970581159
SRR9042869	grey	-0.00106887576315143
SRR9042870	purple	-0.0620103308710462
SRR9042870	royalblue	-0.00530082690216768
SRR9042870	lightyellow	-0.0256928903889445
SRR9042870	red	0.00361536260001351
SRR9042870	magenta	0.00396399512035502
SRR9042870	yellow	-0.0450597260137414
SRR9042870	blue	-0.107530638785305
SRR9042870	grey60	-0.158832419105445
SRR9042870	black	0.133387535204915
SRR9042870	midnightblue	0.127945980753279
SRR9042870	brown	-0.0212041242901273
SRR9042870	green	0.0713497298385453
SRR9042870	salmon	0.133962154859893
SRR9042870	pink	-0.0632021477496434
SRR9042870	tan	0.0656595579454633
SRR9042870	turquoise	0.111584049361032
SRR9042870	lightcyan	-0.0534169939223427
SRR9042870	cyan	-0.0694186344831376
SRR9042870	greenyellow	-0.0678361700371786
SRR9042870	lightgreen	-0.0261979615874032
SRR9042870	grey	-0.00131212103038573
