MEpurple	MEroyalblue	MElightyellow	MEred	MEmagenta	MEyellow	MEblue	MEgrey60	MEblack	MEmidnightblue	MEbrown	MEgreen	MEsalmon	MEpink	MEtan	MEturquoise	MElightcyan	MEcyan	MEgreenyellow	MElightgreen	MEgrey
-0.0645791343013321	0.021364793823543	0.0274819115271613	0.00883773814581387	0.0313463787156851	-0.00224852618896522	-0.0749470718442377	-0.15893706268679	0.12768652905183	0.0943536907012144	-0.0286884551314708	0.0395391317626978	0.139018336777442	-0.0933543410721774	0.0438736201019783	0.0941484123723319	-0.0523987596231807	-0.0650449348051972	-0.0908755566653423	-0.0574988734477584	-0.00101692779426188
-0.0630748759042291	0.0155814228266255	0.0257651701956471	0.0129194430954848	0.0344876216234559	-0.00379903059585371	-0.07465409371349	-0.155670112133497	0.127578194639506	0.100299386360952	-0.0298066335769879	0.0405698209228796	0.136093692110496	-0.09793022397314	0.040105761739247	0.09544780131371	-0.046631809109091	-0.07222718826358	-0.0877328216473993	-0.0520152426222732	-0.00106565243632646
-0.0591556034420942	0.00465513025787231	0.0218060050151823	0.0114655197757356	0.0322891670251758	-0.00409822280873451	-0.0752608147029622	-0.161819594815634	0.127750407131227	0.105135013395817	-0.0293966349919662	0.0402946581784491	0.139502729881938	-0.0950891863703899	0.0431293940012259	0.097072822442104	-0.0462063672369006	-0.067289431705511	-0.0879801403797291	-0.0600202970581159	-0.00106887576315143
-0.0620103308710462	-0.00530082690216768	-0.0256928903889445	0.00361536260001351	0.00396399512035502	-0.0450597260137414	-0.107530638785305	-0.158832419105445	0.133387535204915	0.127945980753279	-0.0212041242901273	0.0713497298385453	0.133962154859893	-0.0632021477496434	0.0656595579454633	0.111584049361032	-0.0534169939223427	-0.0694186344831376	-0.0678361700371786	-0.0261979615874032	-0.00131212103038573
-0.0730731785838955	-0.0188306576807469	-0.0340551670795788	0.00295237637565036	0.00366778552611484	-0.0453147701121163	-0.110164646785726	-0.158939806559197	0.1330423554718	0.131311626740486	-0.0216494052039738	0.0702552785154992	0.135467275901253	-0.061567390768316	0.0620818936233344	0.112532209375121	-0.0488789430412564	-0.0711668982015674	-0.0668865665418381	-0.0359529511677707	-0.0013932163912231
-0.0718969307733876	0.000718820788731828	-0.0310498825468132	0.00473825065850846	0.00125565147708525	-0.0450415199696698	-0.109368405043206	-0.162912154631353	0.129455545822346	0.126741923028894	-0.0230899627241484	0.0697515331816434	0.139553865139259	-0.0660251730493543	0.0629146733376155	0.112678187878278	-0.0490780097024667	-0.0714212945590806	-0.0665654916358758	-0.0259312026446751	-0.00137966887207673
-0.0588260279872958	0.00992817667304828	-0.0331641139498007	-0.00484330981572416	0.018207216574285	-0.0467872868718117	-0.0956125917350047	-0.150712125741078	0.124364127216031	0.124541285871244	-0.00804118060026627	0.0688922487403126	0.142545240881133	-0.130809302413281	0.0583964924795192	0.103677270655149	-0.124108766833107	-0.0258791403935026	-0.0807259068787683	-0.033554515668142	-0.000720663405134089
-0.058336566217763	0.0123200630775307	-0.0310080503635903	-0.00593588567742367	0.0165602965766854	-0.0451089966985512	-0.0942367639521807	-0.141782032437614	0.125813613834254	0.119040879821501	-0.00904641128676427	0.0714155854921456	0.137362799040877	-0.130198074197561	0.0614336668713623	0.105048325453815	-0.124752634981949	-0.0264510250397189	-0.0797245189414575	-0.042240041808364	-0.000816957296291812
-0.0610594454629802	0.0214546078955625	-0.0273396552155409	-0.00955810176497139	0.0172040007189315	-0.0471627648609988	-0.0957993438713301	-0.143945678891561	0.122451185328337	0.127129270316819	-0.0107826005087187	0.0705488717074881	0.145394874308682	-0.132378457215366	0.0574180516199848	0.103766339440217	-0.118639379560999	-0.0255374706509002	-0.0733952214906399	-0.0415984549643701	-0.000748728880329788
-0.180389856018987	-0.146020017746287	-0.121190376426913	-0.337386420307027	0.187660864631758	0.0888541679189254	0.111462019589601	0.152791572627496	-0.0194618450319591	0.161108970291512	0.334936694370397	0.173408833978855	-0.0417885912417671	0.0182447474722755	-0.107892703940916	-0.249535152757172	0.000806679768108505	-0.0612279663211686	-0.114454481283127	0.0496784736159509	1.18505251477574e-05
